Модель;Ток фазы - А;Момент удержания - Н/м;Индуктивность - мГн;Тормоз;Сопротивление - О;Обратная связь;Двойной вал;Диаметр вала - мм
Шаговый двигатель NEMA 23 корпус 41 мм;2.5;1.1;2.8;нет;0.5;нет;нет;8.0
Шаговый двигатель NEMA 23 корпус 41 мм вал 6.35 мм;3.0;1.1;2.8;нет;0.5;нет;да;6.35
Шаговый двигатель NEMA 23 корпус 41 мм двойной вал;3.0;1.1;2.8;нет;0.5;нет;да;8.0
Шаговый двигатель NEMA 23 корпус 41 мм с тормозом;3.0;1.1;2.8;да;0.5;нет;нет;8.0
Шаговый двигатель NEMA 23 корпус 56 мм;4.0;1.2;1.8;;0.3;нет;нет;8.0
Шаговый двигатель NEMA 23 корпус 56 мм вал 6.35;4.0;1.2;1.8;нет;0.3;нет;нет;6.35
Шаговый двигатель NEMA 23 корпус 56 мм двойной вал;4.0;1.2;1.8;;0.3;нет;да;8.0
Шаговый двигатель NEMA 23 корпус 56 мм с тормозом;4.0;1.2;1.8;да;0.3;нет;нет;8.0
Шаговый двигатель NEMA 23 корпус 56 мм 2.2 A;2.2;1.2;1.8;;0.3;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 76 мм;2.8;1.6;3.6;;1.2;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 76 мм вал 6.35 мм;2.8;1.6;3.6;;1.2;нет;нет;6.35
Шаговый двигатель NEMA 23, корпус 76 мм двойной вал;2.8;1.6;3.6;;1.2;нет;да;8.0
Шаговый двигатель NEMA 23, корпус 76 мм с тормозом;2.8;1.6;3.6;да;1.2;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 80 мм;2.8;2.0;5.4;нет;1.3;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 80 мм вал 6.35 мм;2.8;2.0;5.4;нет;1.3;нет;нет;6.35
Шаговый двигатель NEMA 23, корпус 80 мм двойной вал;2.8;2.0;5.4;нет;1.3;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 80 мм с тормозом;2.8;2.0;5.4;да;1.3;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 100 мм;4.0;2.5;3.2;;0.7;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 102 мм;4.0;2.5;3.2;;0.7;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 102 мм вал 6.35 мм;4.0;2.5;3.2;нет;0.7;нет;нет;6.35
Шаговый двигатель NEMA 23, корпус 102 мм двойной вал;4.0;2.5;3.2;;0.7;нет;да;8.0
Шаговый двигатель NEMA 23, корпус 102 мм с тормозом;4.0;2.5;3.2;да;0.7;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 112 мм 2А;2.0;2.8;3.5;нет;0.8;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 112 мм;4.2;2.8;3.5;нет;0.8;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 112 мм вал 6.35;4.2;2.8;3.5;нет;0.8;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 112 мм двойной вал;4.2;2.8;3.5;;0.8;нет;да;8.0
Шаговый двигатель NEMA 23, корпус 112 мм с тормозом;4.2;2.8;3.5;да;0.8;нет;нет;8.0
Шаговый двигатель NEMA 23, корпус 112 мм, 10 мм вал;4.2;2.8;3.5;;0.8;нет;нет;10.0
